timestep,speed
0.01,0
0.06,0
0.11,0
0.16,0
0.21,0
0.26,0
0.31,0
0.36,0
0.41,0
0.46,0
0.51,0
0.56,0
0.61,0
0.66,0
0.71,0
0.76,0
0.81,0
0.86,0
0.91,0
0.96,0
1.01,0
1.06,0
1.11,0
1.16,0
1.21,0
1.26,0
1.31,0
1.36,0
1.41,0
1.46,0
1.51,0
1.56,0
1.61,0
1.66,0
1.71,0
1.76,0
1.81,0
1.86,0
1.91,0
1.96,0
2.01,0
2.06,0
2.11,0
2.16,0
2.21,0
2.26,0
2.31,0
2.36,0
2.41,0
2.46,0
2.51,0
2.56,0
2.61,0
2.66,0
2.71,0
2.76,0
2.81,0
2.86,0
2.91,0
2.96,0
3.01,0
3.06,0
3.11,0
3.16,0
3.21,0
3.26,0
3.31,0
3.36,0
3.41,0
3.46,0
3.51,0
3.56,0
3.61,0
3.66,0
3.71,0
3.76,0
3.81,0
3.86,0
3.91,0
3.96,0
4.01,0
4.06,0
4.11,0
4.16,0
4.21,0
4.26,0
4.31,0
4.36,0
4.41,0
4.46,0
4.51,0
4.56,0
4.61,0
4.66,0
4.71,0
4.76,0
4.81,0
4.86,0
4.91,0
4.96,0
5.01,0
5.06,0
5.11,0
5.16,0
5.21,0
5.26,0
5.31,0
5.36,0
5.41,0
5.46,0
5.51,0
5.56,0
5.61,0
5.66,0
5.71,0
5.76,0
5.81,0
5.86,0
5.91,0
5.96,0
6.01,0
6.06,0
6.11,0
6.16,0
6.21,0
6.26,0
6.31,0
6.36,0
6.41,0
6.46,0
6.51,0
6.56,0
6.61,0
6.66,0
6.71,0
6.76,0
6.81,0
6.86,0
6.91,0
6.96,0
7.01,0
7.06,0
7.11,0
7.16,0
7.21,0
7.26,0
7.31,0
7.36,0
7.41,0
7.46,0
7.51,0
7.56,0
7.61,0
7.66,0
7.71,0
7.76,0
7.81,0
7.86,0
7.91,0
7.96,0
8.01,0
8.06,0
8.11,0
8.16,0
8.21,0
8.26,0
8.31,0
8.36,0
8.41,0
8.46,0
8.51,0
8.56,0
8.61,0
8.66,0
8.71,0
8.76,0
8.81,0
8.86,0
8.91,0
8.96,0
9.01,0
9.06,0
9.11,0
9.16,0
9.21,0
9.26,0
9.31,0
9.36,0
9.41,0
9.46,0
9.51,0
9.56,0
9.61,0
9.66,0
9.71,0
9.76,0
9.81,0
9.86,0
9.91,0
9.96,0
10.01,0
10.06,0
10.11,0
10.16,0
10.21,0
10.26,0
10.31,0
10.36,0
10.41,0
10.46,0
10.51,0
10.56,0
10.61,0
10.66,0
10.71,0
10.76,0
10.81,0
10.86,0
10.91,0
10.96,0
11.01,0
11.06,0
11.11,0
11.16,0
11.21,0
11.26,0
11.31,0
11.36,0
11.41,0
11.46,0
11.51,0
11.56,0
11.61,0
11.66,0
11.71,0
11.76,0
11.81,0
11.86,0
11.91,0
11.96,0
12.01,0
12.06,0
12.11,0
12.16,0
12.21,0
12.26,0
12.31,0
12.36,0
12.41,0
12.46,0
12.51,0
12.56,0
12.61,0
12.66,0
12.71,0
12.76,0
12.81,0
12.86,0
12.91,0
12.96,0
13.01,0
13.06,0
13.11,0
13.16,0
13.21,0
13.26,0
13.31,0
13.36,0
13.41,0
13.46,0
13.51,0
13.56,0
13.61,0
13.66,0
13.71,0
13.76,0
13.81,0
13.86,0
13.91,0
13.96,0
14.01,0
14.06,0
14.11,0
14.16,0
14.21,0
14.26,0
14.31,0
14.36,0
14.41,0
14.46,0
14.51,0
14.56,0
14.61,0
14.66,0
14.71,0
14.76,0
14.81,0
14.86,0
14.91,0
14.96,0
15.01,0
15.06,0
15.11,0
15.16,0
15.21,0
15.26,0
15.31,0
15.36,0
15.41,0
15.46,0
15.51,0
15.56,0
15.61,0
15.66,0
15.71,0
15.76,0
15.81,0
15.86,0
15.91,0
15.96,0
16.01,0
16.06,0
16.11,0
16.16,0
16.21,0
16.26,0
16.31,0
16.36,0
16.41,0
16.46,0
16.51,0
16.56,0
16.61,0
16.66,0
16.71,0
16.76,0
16.81,0
16.86,0
16.91,0
16.96,0
17.01,0
17.06,0
17.11,0
17.16,0
17.21,0
17.26,0
17.31,0
17.36,0
17.41,0
17.46,0
17.51,0
17.56,0
17.61,0
17.66,0
17.71,0
17.76,0
17.81,0
17.86,0
17.91,0
17.96,0
18.01,0
18.06,0
18.11,0
18.16,0
18.21,0
18.26,0
18.31,0
18.36,0
18.41,0
18.46,0
18.51,0
18.56,0
18.61,0
18.66,0
18.71,0
18.76,0
18.81,0
18.86,0
18.91,0
18.96,0
19.01,0
19.06,0
19.11,0
19.16,0
19.21,0
19.26,0
19.31,0
19.36,0
19.41,0
19.46,0
19.51,0
19.56,0
19.61,0
19.66,0
19.71,0
19.76,0
19.81,0
19.86,0
19.91,0
19.96,0
20.01,0
20.06,0
20.11,0
20.16,0
20.21,0
20.26,0
20.31,0
20.36,0
20.41,0
20.46,0
20.51,0
20.56,0
20.61,0
20.66,0
20.71,0
20.76,0
20.81,0
20.86,0
20.91,0
20.96,0
21.01,0
21.06,0
21.11,0
21.16,0
21.21,0
21.26,0
21.31,0
21.36,0
21.41,0
21.46,0
21.51,0
21.56,0
21.61,0
21.66,0
21.71,0
21.76,0
21.81,0
21.86,0
21.91,0
21.96,0
22.01,0
22.06,0
22.11,0
22.16,0
22.21,0
22.26,0
22.31,0
22.36,0
22.41,0
22.46,0
22.51,0
22.56,0
22.61,0
22.66,0
22.71,0
22.76,0
22.81,0
22.86,0
22.91,0
22.96,0
23.01,0
23.06,0
23.11,0
23.16,0
23.21,0
23.26,0
23.31,0
23.36,0
23.41,0
23.46,0
23.51,0
23.56,0
23.61,0
23.66,0
23.71,0
23.76,0
23.81,0
23.86,0
23.91,0
23.96,0
24.01,0
24.06,0
24.11,0
24.16,0
24.21,0
24.26,0
24.31,0
24.36,0
24.41,0
24.46,0
24.51,0
24.56,0
24.61,0
24.66,0
24.71,0
24.76,0
24.81,0
24.86,0
24.91,0
24.96,0
25.01,0
25.06,0
25.11,0
25.16,0
25.21,0
25.26,0
25.31,0
25.36,0
25.41,0
25.46,0
25.51,0
25.56,0
25.61,0
25.66,0
25.71,0
25.76,0
25.81,0
25.86,0
25.91,0
25.96,0
26.01,0
26.06,0
26.11,0
26.16,0
26.21,0
26.26,0
26.31,0
26.36,0
26.41,0
26.46,0
26.51,0
26.56,0
26.61,0
26.66,0
26.71,0
26.76,0
26.81,0
26.86,0
26.91,0
26.96,0
27.01,0
27.06,0
27.11,0
27.16,0
27.21,0
27.26,0
27.31,0
27.36,0
27.41,0
27.46,0
27.51,0
27.56,0
27.61,0
27.66,0
27.71,0
27.76,0
27.81,0
27.86,0
27.91,0
27.96,0
28.01,0
28.06,0
28.11,0
28.16,0
28.21,0
28.26,0
28.31,0
28.36,0
28.41,0
28.46,0
28.51,0
28.56,0
28.61,0
28.66,0
28.71,0
28.76,0
28.81,0
28.86,0
28.91,0
28.96,0
29.01,0
29.06,0
29.11,0
29.16,0
29.21,0
29.26,0
29.31,0
29.36,0
29.41,0
29.46,0
29.51,0
29.56,0
29.61,0
29.66,0
29.71,0
29.76,0
29.81,0
29.86,0
29.91,0
29.96,0
30.01,4.47
30.06,4.47
30.11,4.47
30.16,4.47
30.21,4.47
30.26,4.47
30.31,4.47
30.36,4.47
30.41,4.47
30.46,4.47
30.51,4.47
30.56,4.47
30.61,4.47
30.66,4.47
30.71,4.47
30.76,4.47
30.81,4.47
30.86,4.47
30.91,4.47
30.96,4.47
31.01,4.47
31.06,4.47
31.11,4.47
31.16,4.47
31.21,4.47
31.26,4.47
31.31,4.47
31.36,4.47
31.41,4.47
31.46,4.47
31.51,4.47
31.56,4.47
31.61,4.47
31.66,4.47
31.71,4.47
31.76,4.47
31.81,4.47
31.86,4.47
31.91,4.47
31.96,4.47
32.01,4.47
32.06,4.47
32.11,4.47
32.16,4.47
32.21,4.47
32.26,4.47
32.31,4.47
32.36,4.47
32.41,4.47
32.46,4.47
32.51,4.47
32.56,4.47
32.61,4.47
32.66,4.47
32.71,4.47
32.76,4.47
32.81,4.47
32.86,4.47
32.91,4.47
32.96,4.47
33.01,4.47
33.06,4.47
33.11,4.47
33.16,4.47
33.21,4.47
33.26,4.47
33.31,4.47
33.36,4.47
33.41,4.47
33.46,4.47
33.51,4.47
33.56,4.47
33.61,4.47
33.66,4.47
33.71,4.47
33.76,4.47
33.81,4.47
33.86,4.47
33.91,4.47
33.96,4.47
34.01,4.47
34.06,4.47
34.11,4.47
34.16,4.47
34.21,4.47
34.26,4.47
34.31,4.47
34.36,4.47
34.41,4.47
34.46,4.47
34.51,4.47
34.56,4.47
34.61,4.47
34.66,4.47
34.71,4.47
34.76,4.47
34.81,4.47
34.86,4.47
34.91,4.47
34.96,4.47
35.01,4.47
35.06,4.47
35.11,4.47
35.16,4.47
35.21,4.47
35.26,4.47
35.31,4.47
35.36,4.47
35.41,4.47
35.46,4.47
35.51,4.47
35.56,4.47
35.61,4.47
35.66,4.47
35.71,4.47
35.76,4.47
35.81,4.47
35.86,4.47
35.91,4.47
35.96,4.47
36.01,4.47
36.06,4.47
36.11,4.47
36.16,4.47
36.21,4.47
36.26,4.47
36.31,4.47
36.36,4.47
36.41,4.47
36.46,4.47
36.51,4.47
36.56,4.47
36.61,4.47
36.66,4.47
36.71,4.47
36.76,4.47
36.81,4.47
36.86,4.47
36.91,4.47
36.96,4.47
37.01,4.47
37.06,4.47
37.11,4.47
37.16,4.47
37.21,4.47
37.26,4.47
37.31,4.47
37.36,4.47
37.41,4.47
37.46,4.47
37.51,4.47
37.56,4.47
37.61,4.47
37.66,4.47
37.71,4.47
37.76,4.47
37.81,4.47
37.86,4.47
37.91,4.47
37.96,4.47
38.01,4.47
38.06,4.47
38.11,4.47
38.16,4.47
38.21,4.47
38.26,4.47
38.31,4.47
38.36,4.47
38.41,4.47
38.46,4.47
38.51,4.47
38.56,4.47
38.61,4.47
38.66,4.47
38.71,4.47
38.76,4.47
38.81,4.47
38.86,4.47
38.91,4.47
38.96,4.47
39.01,4.47
39.06,4.47
39.11,4.47
39.16,4.47
39.21,4.47
39.26,4.47
39.31,4.47
39.36,4.47
39.41,4.47
39.46,4.47
39.51,4.47
39.56,4.47
39.61,4.47
39.66,4.47
39.71,4.47
39.76,4.47
39.81,4.47
39.86,4.47
39.91,4.47
39.96,4.47
40.01,4.47
40.06,4.47
40.11,4.47
40.16,4.47
40.21,4.47
40.26,4.47
40.31,4.47
40.36,4.47
40.41,4.47
40.46,4.47
40.51,4.47
40.56,4.47
40.61,4.47
40.66,4.47
40.71,4.47
40.76,4.47
40.81,4.47
40.86,4.47
40.91,4.47
40.96,4.47
41.01,4.47
41.06,4.47
41.11,4.47
41.16,4.47
41.21,4.47
41.26,4.47
41.31,4.47
41.36,4.47
41.41,4.47
41.46,4.47
41.51,4.47
41.56,4.47
41.61,4.47
41.66,4.47
41.71,4.47
41.76,4.47
41.81,4.47
41.86,4.47
41.91,4.47
41.96,4.47
42.01,4.47
42.06,4.47
42.11,4.47
42.16,4.47
42.21,4.47
42.26,4.47
42.31,4.47
42.36,4.47
42.41,4.47
42.46,4.47
42.51,4.47
42.56,4.47
42.61,4.47
42.66,4.47
42.71,4.47
42.76,4.47
42.81,4.47
42.86,4.47
42.91,4.47
42.96,4.47
43.01,4.47
43.06,4.47
43.11,4.47
43.16,4.47
43.21,4.47
43.26,4.47
43.31,4.47
43.36,4.47
43.41,4.47
43.46,4.47
43.51,4.47
43.56,4.47
43.61,4.47
43.66,4.47
43.71,4.47
43.76,4.47
43.81,4.47
43.86,4.47
43.91,4.47
43.96,4.47
44.01,4.47
44.06,4.47
44.11,4.47
44.16,4.47
44.21,4.47
44.26,4.47
44.31,4.47
44.36,4.47
44.41,4.47
44.46,4.47
44.51,4.47
44.56,4.47
44.61,4.47
44.66,4.47
44.71,4.47
44.76,4.47
44.81,4.47
44.86,4.47
44.91,4.47
44.96,4.47
45.01,4.47
45.06,4.47
45.11,4.47
45.16,4.47
45.21,4.47
45.26,4.47
45.31,4.47
45.36,4.47
45.41,4.47
45.46,4.47
45.51,4.47
45.56,4.47
45.61,4.47
45.66,4.47
45.71,4.47
45.76,4.47
45.81,4.47
45.86,4.47
45.91,4.47
45.96,4.47
46.01,4.47
46.06,4.47
46.11,4.47
46.16,4.47
46.21,4.47
46.26,4.47
46.31,4.47
46.36,4.47
46.41,4.47
46.46,4.47
46.51,4.47
46.56,4.47
46.61,4.47
46.66,4.47
46.71,4.47
46.76,4.47
46.81,4.47
46.86,4.47
46.91,4.47
46.96,4.47
47.01,4.47
47.06,4.47
47.11,4.47
47.16,4.47
47.21,4.47
47.26,4.47
47.31,4.47
47.36,4.47
47.41,4.47
47.46,4.47
47.51,4.47
47.56,4.47
47.61,4.47
47.66,4.47
47.71,4.47
47.76,4.47
47.81,4.47
47.86,4.47
47.91,4.47
47.96,4.47
48.01,4.47
48.06,4.47
48.11,4.47
48.16,4.47
48.21,4.47
48.26,4.47
48.31,4.47
48.36,4.47
