timestep,speed
0.01,0
0.06,0
0.11,0
0.16,0
0.21,0
0.26,0
0.31,0
0.36,0
0.41,0
0.46,0
0.51,0
0.56,0
0.61,0
0.66,0
0.71,0
0.76,0
0.81,0
0.86,0
0.91,0
0.96,0
1.01,0
1.06,0
1.11,0
1.16,0
1.21,0
1.26,0
1.31,0
1.36,0
1.41,0
1.46,0
1.51,0
1.56,0
1.61,0
1.66,0
1.71,0
1.76,0
1.81,0
1.86,0
1.91,0
1.96,0
2.01,0
2.06,0
2.11,0
2.16,0
2.21,0
2.26,0
2.31,0
2.36,0
2.41,0
2.46,0
2.51,0
2.56,0
2.61,0
2.66,0
2.71,0
2.76,0
2.81,0
2.86,0
2.91,0
2.96,0
3.01,0
3.06,0
3.11,0
3.16,0
3.21,0
3.26,0
3.31,0
3.36,0
3.41,0
3.46,0
3.51,0
3.56,0
3.61,0
3.66,0
3.71,0
3.76,0
3.81,0
3.86,0
3.91,0
3.96,0
4.01,0
4.06,0
4.11,0
4.16,0
4.21,0
4.26,0
4.31,0
4.36,0
4.41,0
4.46,0
4.51,0
4.56,0
4.61,0
4.66,0
4.71,0
4.76,0
4.81,0
4.86,0
4.91,0
4.96,0
5.01,0
5.06,0
5.11,0
5.16,0
5.21,0
5.26,0
5.31,0
5.36,0
5.41,0
5.46,0
5.51,0
5.56,0
5.61,0
5.66,0
5.71,0
5.76,0
5.81,0
5.86,0
5.91,0
5.96,0
6.01,0
6.06,0
6.11,0
6.16,0
6.21,0
6.26,0
6.31,0
6.36,0
6.41,0
6.46,0
6.51,0
6.56,0
6.61,0
6.66,0
6.71,0
6.76,0
6.81,0
6.86,0
6.91,0
6.96,0
7.01,0
7.06,0
7.11,0
7.16,0
7.21,0
7.26,0
7.31,0
7.36,0
7.41,0
7.46,0
7.51,0
7.56,0
7.61,0
7.66,0
7.71,0
7.76,0
7.81,0
7.86,0
7.91,0
7.96,0
8.01,0
8.06,0
8.11,0
8.16,0
8.21,0
8.26,0
8.31,0
8.36,0
8.41,0
8.46,0
8.51,0
8.56,0
8.61,0
8.66,0
8.71,0
8.76,0
8.81,0
8.86,0
8.91,0
8.96,0
9.01,0
9.06,0
9.11,0
9.16,0
9.21,0
9.26,0
9.31,0
9.36,0
9.41,0
9.46,0
9.51,0
9.56,0
9.61,0
9.66,0
9.71,0
9.76,0
9.81,0
9.86,0
9.91,0
9.96,0
10.01,0
10.06,0
10.11,0
10.16,0
10.21,0
10.26,0
10.31,0
10.36,0
10.41,0
10.46,0
10.51,0
10.56,0
10.61,0
10.66,0
10.71,0
10.76,0
10.81,0
10.86,0
10.91,0
10.96,0
11.01,0
11.06,0
11.11,0
11.16,0
11.21,0
11.26,0
11.31,0
11.36,0
11.41,0
11.46,0
11.51,0
11.56,0
11.61,0
11.66,0
11.71,0
11.76,0
11.81,0
11.86,0
11.91,0
11.96,0
12.01,0
12.06,0
12.11,0
12.16,0
12.21,0
12.26,0
12.31,0
12.36,0
12.41,0
12.46,0
12.51,0
12.56,0
12.61,0
12.66,0
12.71,0
12.76,0
12.81,0
12.86,0
12.91,0
12.96,0
13.01,0
13.06,0
13.11,0
13.16,0
13.21,0
13.26,0
13.31,0
13.36,0
13.41,0
13.46,0
13.51,0
13.56,0
13.61,0
13.66,0
13.71,0
13.76,0
13.81,0
13.86,0
13.91,0
13.96,0
14.01,0
14.06,0
14.11,0
14.16,0
14.21,0
14.26,0
14.31,0
14.36,0
14.41,0
14.46,0
14.51,0
14.56,0
14.61,0
14.66,0
14.71,0
14.76,0
14.81,0
14.86,0
14.91,0
14.96,0
15.01,0
15.06,0
15.11,0
15.16,0
15.21,0
15.26,0
15.31,0
15.36,0
15.41,0
15.46,0
15.51,0
15.56,0
15.61,0
15.66,0
15.71,0
15.76,0
15.81,0
15.86,0
15.91,0
15.96,0
16.01,0
16.06,0
16.11,0
16.16,0
16.21,0
16.26,0
16.31,0
16.36,0
16.41,0
16.46,0
16.51,0
16.56,0
16.61,0
16.66,0
16.71,0
16.76,0
16.81,0
16.86,0
16.91,0
16.96,0
17.01,0
17.06,0
17.11,0
17.16,0
17.21,0
17.26,0
17.31,0
17.36,0
17.41,0
17.46,0
17.51,0
17.56,0
17.61,0
17.66,0
17.71,0
17.76,0
17.81,0
17.86,0
17.91,0
17.96,0
18.01,0
18.06,0
18.11,0
18.16,0
18.21,0
18.26,0
18.31,0
18.36,0
18.41,0
18.46,0
18.51,0
18.56,0
18.61,0
18.66,0
18.71,0
18.76,0
18.81,0
18.86,0
18.91,0
18.96,0
19.01,0
19.06,0
19.11,0
19.16,0
19.21,0
19.26,0
19.31,0
19.36,0
19.41,0
19.46,0
19.51,0
19.56,0
19.61,0
19.66,0
19.71,0
19.76,0
19.81,0
19.86,0
19.91,0
19.96,0
20.01,0
20.06,0
20.11,0
20.16,0
20.21,0
20.26,0
20.31,0
20.36,0
20.41,0
20.46,0
20.51,0
20.56,0
20.61,0
20.66,0
20.71,0
20.76,0
20.81,0
20.86,0
20.91,0
20.96,0
21.01,0
21.06,0
21.11,0
21.16,0
21.21,0
21.26,0
21.31,0
21.36,0
21.41,0
21.46,0
21.51,0
21.56,0
21.61,0
21.66,0
21.71,0
21.76,0
21.81,0
21.86,0
21.91,0
21.96,0
22.01,0
22.06,0
22.11,0
22.16,0
22.21,0
22.26,0
22.31,0
22.36,0
22.41,0
22.46,0
22.51,0
22.56,0
22.61,0
22.66,0
22.71,0
22.76,0
22.81,0
22.86,0
22.91,0
22.96,0
23.01,0
23.06,0
23.11,0
23.16,0
23.21,0
23.26,0
23.31,0
23.36,0
23.41,0
23.46,0
23.51,0
23.56,0
23.61,0
23.66,0
23.71,0
23.76,0
23.81,0
23.86,0
23.91,0
23.96,0
24.01,0
24.06,0
24.11,0
24.16,0
24.21,0
24.26,0
24.31,0
24.36,0
24.41,0
24.46,0
24.51,0
24.56,0
24.61,0
24.66,0
24.71,0
24.76,0
24.81,0
24.86,0
24.91,0
24.96,0
25.01,0
25.06,0
25.11,0
25.16,0
25.21,0
25.26,0
25.31,0
25.36,0
25.41,0
25.46,0
25.51,0
25.56,0
25.61,0
25.66,0
25.71,0
25.76,0
25.81,0
25.86,0
25.91,0
25.96,0
26.01,0
26.06,0
26.11,0
26.16,0
26.21,0
26.26,0
26.31,0
26.36,0
26.41,0
26.46,0
26.51,0
26.56,0
26.61,0
26.66,0
26.71,0
26.76,0
26.81,0
26.86,0
26.91,0
26.96,0
27.01,0
27.06,0
27.11,0
27.16,0
27.21,0
27.26,0
27.31,0
27.36,0
27.41,0
27.46,0
27.51,0
27.56,0
27.61,0
27.66,0
27.71,0
27.76,0
27.81,0
27.86,0
27.91,0
27.96,0
28.01,0
28.06,0
28.11,0
28.16,0
28.21,0
28.26,0
28.31,0
28.36,0
28.41,0
28.46,0
28.51,0
28.56,0
28.61,0
28.66,0
28.71,0
28.76,0
28.81,0
28.86,0
28.91,0
28.96,0
29.01,0
29.06,0
29.11,0
29.16,0
29.21,0
29.26,0
29.31,0
29.36,0
29.41,0
29.46,0
29.51,0
29.56,0
29.61,0
29.66,0
29.71,0
29.76,0
29.81,0
29.86,0
29.91,0
29.96,0
30.01,0.0138953109990585
30.06,0.0132855214135462
30.11,0.0134826289980087
30.16,0.0142284135693472
30.21,0.0162966133057191
30.26,0.0121243439629893
30.31,0.0125121376784203
30.36,0.0131982407216182
30.41,0.0157331874915606
30.46,0.0168133725264534
30.51,0.00880753345793064
30.56,0.00874786746696092
30.61,0.00948458953008622
30.66,0.0107671560487209
30.71,0.0117937822381297
30.76,0.00838274844294859
30.81,0.00782090441691219
30.86,0.00857176001659916
30.91,0.0104416042798922
30.96,0.0111749405418236
31.01,0.00656070390495635
31.06,0.00690933610305375
31.11,0.00766460720356269
31.16,0.00857940900571936
31.21,0.00781845171156287
31.26,0.0081552126196985
31.31,0.00823268638701591
31.36,0.00600801826995944
31.41,0.0070188507028557
31.46,0.00717052975232941
31.51,0.00720515709154557
31.56,0.00449462868441712
31.61,0.00416730747993797
31.66,0.00489749677133567
31.71,0.00604709510180211
31.76,0.00570743451364968
31.81,0.00418119487494008
31.86,0.0041548497628093
31.91,0.00699489239919393
31.96,0.00658198817115354
32.01,0.00523420448377312
32.06,0.00349327017917123
32.11,0.00445789538027574
32.16,0.00835623435458272
32.21,0.0122527123589819
32.26,0.00377996890252823
32.31,0.00361196130779149
32.36,0.00658600173666555
32.41,0.0113515677028198
32.46,0.0171472307498355
32.51,0.00485812664384974
32.56,0.00580688544298469
32.61,0.00526106729060897
32.66,0.00876473381497735
32.71,0.0111203071829139
32.76,0.00614408062997409
32.81,0.00684625659404623
32.86,0.00708783714319937
32.91,0.00702959127761625
32.96,0.00702097325179561
33.01,0.00954025158760152
33.06,0.00828457021531505
33.11,0.00856562629195672
33.16,0.00897814445943474
33.21,0.00892469686067123
33.26,0.00781138987819343
33.31,0.00754525348312804
33.36,0.00843846580925158
33.41,0.00949165029943414
33.46,0.0102845308643935
33.51,0.0104015166624371
33.56,0.0110117543157297
33.61,0.0121128337832862
33.66,0.0146315658155086
33.71,0.0158607447236353
33.76,0.0117746252541906
33.81,0.0129448932772482
33.86,0.0149632960590141
33.91,0.0166542165746558
33.96,0.0185049683070643
34.01,0.0150483583008421
34.06,0.015547996549684
34.11,0.0161540210132321
34.16,0.0179175794788685
34.21,0.0204236680295369
34.26,0.0193811314841001
34.31,0.0223188518716849
34.36,0.0252456222596504
34.41,0.0265441527848973
34.46,0.0322420770188025
34.51,0.0320731143786802
34.56,0.0360077422441539
34.61,0.0384396646728864
34.66,0.0430213938025148
34.71,0.0459858480295257
34.76,0.0454923648499107
34.81,0.047108609009646
34.86,0.0503491251063825
34.91,0.0506657270918694
34.96,0.0536821579142121
35.01,0.044312792493025
35.06,0.047724751362774
35.11,0.0473425210886988
35.16,0.0489053078999019
35.21,0.0481075108900642
35.26,0.0407377354895149
35.31,0.0427173829893498
35.36,0.0423369204665735
35.41,0.0438032055000047
35.46,0.048308945662917
35.51,0.0372666757848669
35.56,0.0365840932458646
35.61,0.0383619446616921
35.66,0.0376368669391669
35.71,0.0382015219538011
35.76,0.0306213458731691
35.81,0.0321291008215849
35.86,0.0346784613826264
35.91,0.034660673913653
35.96,0.0362340395614994
36.01,0.0301189148503154
36.06,0.0316282419388223
36.11,0.0328368891070301
36.16,0.0342917247502394
36.21,0.0363204767053479
36.26,0.030908886430507
36.31,0.0317131256527602
36.36,0.034371065307757
36.41,0.0363547275192837
36.46,0.0384042774869587
36.51,0.0324506816039149
36.56,0.033713624139914
36.61,0.0352770504892088
36.66,0.0381503742656271
36.71,0.0384145230406595
36.76,0.0340224980367671
36.81,0.0347246330390046
36.86,0.0342938348152406
36.91,0.0357385447685187
36.96,0.0373762570971144
37.01,0.0336900759890154
37.06,0.0353671739860664
37.11,0.0374819665889139
37.16,0.0413538457647673
37.21,0.0445665602889319
37.26,0.0378556517259449
37.31,0.0390791268809587
37.36,0.0414581862069678
37.41,0.0441250904726899
37.46,0.0471042224230481
37.51,0.0392427283151915
37.56,0.039262131085634
37.61,0.0400054338133865
37.66,0.0410192281277301
37.71,0.0427630888714324
37.76,0.0393200850935644
37.81,0.0403923762864931
37.86,0.0432329563835717
37.91,0.0439131825989462
37.96,0.0462086626068222
38.01,0.0400570603863953
38.06,0.0416835359082728
38.11,0.0416833711769652
38.16,0.0431327907933073
38.21,0.0441903452131734
38.26,0.0410452041731009
38.31,0.0409732967003471
38.36,0.039197241625456
38.41,0.0388756985823059
38.46,0.0418107874519475
38.51,0.0545481563582353
38.56,0.0705331246120491
38.61,0.0866217551251085
38.66,0.104786868982173
38.71,0.122475797401403
38.76,0.135964421972107
38.81,0.15312802286489
38.86,0.170458239943255
38.91,0.184183535615609
38.96,0.196675131692638
39.01,0.201663473513159
39.06,0.213566318057318
39.11,0.22552737071766
39.16,0.237458240972467
39.21,0.2495439810737
39.26,0.256937745223898
39.31,0.269953612194337
39.36,0.282916016312324
39.41,0.297285852412017
39.46,0.311248395265893
39.51,0.314032769504386
39.56,0.328327087274461
39.61,0.343165619187619
39.66,0.357161649790638
39.71,0.37150759413715
39.76,0.378639407024863
39.81,0.394465955384214
39.86,0.410845393201885
39.91,0.428413472582722
39.96,0.444446144889135
40.01,0.451089954137609
40.06,0.466172243829125
40.11,0.479992717580931
40.16,0.492731660913279
40.21,0.505971059780219
40.26,0.5126531531672
40.31,0.526428320554408
40.36,0.541445711938952
40.41,0.557314444742262
40.46,0.573261871339323
40.51,0.587726382238573
40.56,0.604161353648955
40.61,0.620586991141095
40.66,0.636064229740757
40.71,0.652772414609556
40.76,0.665905146333851
40.81,0.683878471564063
40.86,0.700908469953664
40.91,0.717826734035214
40.96,0.733858922358949
41.01,0.745546258334148
41.06,0.760747587630859
41.11,0.775116546971299
41.16,0.789160785700748
41.21,0.802252645845284
41.26,0.816598624088392
41.31,0.830653919560183
41.36,0.844941578899355
41.41,0.85944351656837
41.46,0.872376687471493
41.51,0.879918670732696
41.56,0.891509767343611
