timestep,speed
0.01,10
0.06,10
0.11,10
0.16,10
0.21,10
0.26,10
0.31,10
0.36,10
0.41,10
0.46,10
0.51,10
0.56,10
0.61,10
0.66,10
0.71,10
0.76,10
0.81,10
0.86,10
0.91,10
0.96,10
1.01,10
1.06,10
1.11,10
1.16,10
1.21,10
1.26,10
1.31,10
1.36,10
1.41,10
1.46,10
1.51,10
1.56,10
1.61,10
1.66,10
1.71,10
1.76,10
1.81,10
1.86,10
1.91,10
1.96,10
2.01,10
2.06,10
2.11,10
2.16,10
2.21,10
2.26,10
2.31,10
2.36,10
2.41,10
2.46,10
2.51,10
2.56,10
2.61,10
2.66,10
2.71,10
2.76,10
2.81,10
2.86,10
2.91,10
2.96,10
3.01,10
3.06,10
3.11,10
3.16,10
3.21,10
3.26,10
3.31,10
3.36,10
3.41,10
3.46,10
3.51,10
3.56,10
3.61,10
3.66,10
3.71,10
3.76,10
3.81,10
3.86,10
3.91,10
3.96,10
4.01,10
4.06,10
4.11,10
4.16,10
4.21,10
4.26,10
4.31,10
4.36,10
4.41,10
4.46,10
4.51,10
4.56,10
4.61,10
4.66,10
4.71,10
4.76,10
4.81,10
4.86,10
4.91,10
4.96,10
5.01,10
5.06,10
5.11,10
5.16,10
5.21,10
5.26,10
5.31,10
5.36,10
5.41,10
5.46,10
5.51,10
5.56,10
5.61,10
5.66,10
5.71,10
5.76,10
5.81,10
5.86,10
5.91,10
5.96,10
6.01,10
6.06,10
6.11,10
6.16,10
6.21,10
6.26,10
6.31,10
6.36,10
6.41,10
6.46,10
6.51,10
6.56,10
6.61,10
6.66,10
6.71,10
6.76,10
6.81,10
6.86,10
6.91,10
6.96,10
7.01,10
7.06,10
7.11,10
7.16,10
7.21,10
7.26,10
7.31,10
7.36,10
7.41,10
7.46,10
7.51,10
7.56,10
7.61,10
7.66,10
7.71,10
7.76,10
7.81,10
7.86,10
7.91,10
7.96,10
8.01,10
8.06,10
8.11,10
8.16,10
8.21,10
8.26,10
8.31,10
8.36,10
8.41,10
8.46,10
8.51,10
8.56,10
8.61,10
8.66,10
8.71,10
8.76,10
8.81,10
8.86,10
8.91,10
8.96,10
9.01,10
9.06,10
9.11,10
9.16,10
9.21,10
9.26,10
9.31,10
9.36,10
9.41,10
9.46,10
9.51,10
9.56,10
9.61,10
9.66,10
9.71,10
9.76,10
9.81,10
9.86,10
9.91,10
9.96,10
10.01,10
10.06,10
10.11,10
10.16,10
10.21,10
10.26,10
10.31,10
10.36,10
10.41,10
10.46,10
10.51,10
10.56,10
10.61,10
10.66,10
10.71,10
10.76,10
10.81,10
10.86,10
10.91,10
10.96,10
11.01,10
11.06,10
11.11,10
11.16,10
11.21,10
11.26,10
11.31,10
11.36,10
11.41,10
11.46,10
11.51,10
11.56,10
11.61,10
11.66,10
11.71,10
11.76,10
11.81,10
11.86,10
11.91,10
11.96,10
12.01,10
12.06,10
12.11,10
12.16,10
12.21,10
12.26,10
12.31,10
12.36,10
12.41,10
12.46,10
12.51,10
12.56,10
12.61,10
12.66,10
12.71,10
12.76,10
12.81,10
12.86,10
12.91,10
12.96,10
13.01,10
13.06,10
13.11,10
13.16,10
13.21,10
13.26,10
13.31,10
13.36,10
13.41,10
13.46,10
13.51,10
13.56,10
13.61,10
13.66,10
13.71,10
13.76,10
13.81,10
13.86,10
13.91,10
13.96,10
14.01,10
14.06,10
14.11,10
14.16,10
14.21,10
14.26,10
14.31,10
14.36,10
14.41,10
14.46,10
14.51,10
14.56,10
14.61,10
14.66,10
14.71,10
14.76,10
14.81,10
14.86,10
14.91,10
14.96,10
15.01,10
15.06,10
15.11,10
15.16,10
15.21,10
15.26,10
15.31,10
15.36,10
15.41,10
15.46,10
15.51,10
15.56,10
15.61,10
15.66,10
15.71,10
15.76,10
15.81,10
15.86,10
15.91,10
15.96,10
16.01,10
16.06,10
16.11,10
16.16,10
16.21,10
16.26,10
16.31,10
16.36,10
16.41,10
16.46,10
16.51,10
16.56,10
16.61,10
16.66,10
16.71,10
16.76,10
16.81,10
16.86,10
16.91,10
16.96,10
17.01,10
17.06,10
17.11,10
17.16,10
17.21,10
17.26,10
17.31,10
17.36,10
17.41,10
17.46,10
17.51,10
17.56,10
17.61,10
17.66,10
17.71,10
17.76,10
17.81,10
17.86,10
17.91,10
17.96,10
